Sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,
50,c,7,2,30,2,71.0612176,,71.0514077,71.0612176,72.0613322,72.0613322,72.0613322,72.0613322,72.0613322,73.0611323,73.0611323,73.3472344,c,1,0.2696766,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,7,3,31,3,73.3614429,,73.3509239,73.3614429,74.3616597,74.3616597,74.3616597,74.3616597,74.3616597,75.3614467,75.3614467,75.7146378,z,1,0.3475108,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,8,0,32,0,75.727417,,75.720267,75.727417,76.7278486,76.7278486,76.7278486,76.7278486,76.7278486,77.7277009,77.7277009,78.0138589,x,1,0.2755143,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,8,1,33,1,78.0273371,,78.0191946,78.0273371,79.0279715,79.0279715,79.0279715,79.0279715,79.0279715,80.0275566,80.0275566,80.3461256,v,1,0.307936,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,8,2,34,2,80.3611459,,80.3507352,80.3611459,81.3611862,81.3611862,81.3611862,81.3611862,81.3611862,82.360944,82.360944,82.6131561,c,1,0.2470646,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,8,3,35,3,82.6276886,,82.6173662,82.6276886,83.6278495,83.6278495,83.6278495,83.6278495,83.6278495,84.6274382,84.6274382,84.8957172,z,1,0.2542801,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,9,0,36,0,84.9106759,,84.900882,84.9106759,85.9111765,85.9111765,85.9111765,85.9111765,85.9111765,86.9145801,86.9145801,87.1966683,x,1,0.2742718,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,9,1,37,1,87.2109278,,87.2004533,87.2109278,88.2108012,88.2108012,88.2108012,88.2108012,88.2108012,89.2110246,89.2110246,89.4966751,v,1,0.2755804,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,9,2,38,2,89.5109156,,89.5000663,89.5109156,90.5115483,90.5115483,90.5115483,90.5115483,90.5115483,91.5110695,91.5110695,91.7464357,c,1,0.2177607,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,9,3,39,3,91.7606722,,91.7513804,91.7606722,92.7611445,92.7611445,92.7611445,92.7611445,92.7611445,93.7607949,93.7607949,94.0298008,z,1,0.264014,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,10,0,40,0,94.0441448,,94.033916,94.0441448,95.0443566,95.0443566,95.0443566,95.0443566,95.0443566,96.0441035,96.0441035,96.3125857,x,1,0.2591044,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,10,1,41,1,96.3273259,,96.3180868,96.3273259,97.3277221,97.3277221,97.3277221,97.3277221,97.3277221,98.3271894,98.3271894,98.5959963,v,1,0.2522946,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,10,2,42,2,98.6107588,,98.5992452,98.6107588,99.611164,99.611164,99.611164,99.611164,99.611164,100.610974,100.610974,100.9292852,c,1,0.3074103,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,10,3,43,3,100.9441192,,100.9344303,100.9441192,101.9445777,101.9445777,101.9445777,101.9445777,101.9445777,102.9440706,102.9440706,103.2298061,z,1,0.2688261,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,11,0,44,0,103.2438672,,103.2350868,103.2438672,104.2444491,104.2444491,104.2444491,104.2444491,104.2444491,105.2439519,105.2439519,105.528856,x,1,0.2756384,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,11,1,45,1,105.5437572,,105.5348812,105.5437572,106.5446392,106.5446392,106.5446392,106.5446392,106.5446392,107.5437707,107.5437707,107.8313437,v,1,0.2835147,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,11,2,46,2,107.8439846,,107.8372622,107.8439846,108.8441511,108.8441511,108.8441511,108.8441511,108.8441511,109.8441853,109.8441853,110.145472,c,1,0.2874378,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,11,3,47,3,110.1602167,,110.1507122,110.1602167,111.1605263,111.1605263,111.1605263,111.1605263,111.1605263,112.1604207,112.1604207,112.4620985,z,1,0.2884763,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,12,0,48,0,112.4767533,,112.4673115,112.4767533,113.4776113,113.4776113,113.4776113,113.4776113,113.4776113,114.4769749,114.4769749,114.7468275,x,1,0.263358,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,12,1,49,1,114.7605843,,114.7531786,114.7605843,115.7608685,115.7608685,115.7608685,115.7608685,115.7608685,116.7608705,116.7608705,116.8952593,v,1,0.1224188,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
