reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,4,2,30,3,95.01883129996713,,95.00506570003927,95.01883129996713,96.01875940000173,96.01875940000173,96.01875940000173,97.03751649998594,t,1.0106860001105815,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,4,3,31,4,97.05231699999422,,97.03838509996422,97.05231699999422,98.05215050000697,98.05215050000697,98.05215050000697,99.30409630003851,t,1.2452846999512985,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,4,4,32,2,99.31857000000309,,99.3051796000218,99.31857000000309,100.31891489995178,100.31891489995178,100.31891489995178,104.08723399997689,l,3.752804599935189,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,4,5,33,5,104.10213450004812,,104.08837729995139,104.10213450004812,105.10223119996954,105.10223119996954,105.10223119996954,108.97045370005071,t,3.8626129999756813,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,4,6,34,0,108.9851416000165,,108.97158550005406,108.9851416000165,109.98495910002384,109.98495910002384,109.98495910002384,110.63685500004794,l,0.6413529000710696,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,5,0,35,2,110.65185020002536,,110.63811679999344,110.65185020002536,111.65191240003332,111.65191240003332,111.65191240003332,112.76960160001181,l,1.1015555000631139,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,5,1,36,6,112.78516940004192,,112.77043170004617,112.78516940004192,113.78530430002138,113.78530430002138,113.78530430002138,114.57077940006275,t,0.7763952999375761,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,5,2,37,3,114.58533020003233,,114.57207560003735,114.58533020003233,115.58519719995093,115.58519719995093,115.58519719995093,116.57123140001204,t,0.9839177000103518,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,5,3,38,5,116.58517430000938,,116.5723800000269,116.58517430000938,117.58529419999104,117.58529419999104,117.58529419999104,123.47117180004716,t,5.883562700008042,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,5,4,39,0,123.48509930004366,,123.47229930001777,123.48509930004366,124.48502869997174,124.48502869997174,124.48502869997174,127.18652500002645,l,2.6850025999592617,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,5,5,40,1,127.20163749996573,,127.18751329998486,127.20163749996573,128.20191890001297,128.20191890001297,128.20191890001297,128.88696459995117,l,0.6757201000582427,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,5,6,41,4,128.90169820003211,,128.88809380005114,128.90169820003211,129.90172790002543,129.90172790002543,129.90172790002543,132.23617479996756,t,2.3282250000629574,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,6,0,42,4,132.25169459998142,,132.23712019994855,132.25169459998142,133.25142270000651,133.25142270000651,133.25142270000651,133.9863677000394,t,0.7308743000030518,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
