delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,9,5,113,10,469.77781740017235,,469.7656700001098,469.77781740017235,470.77796720014885,470.77796720014885,470.77796720014885,471.4633114002645,space,0.683353700209409,None,471.4641271000728,471.8777952669809,472.1982254004106,472.1828066003509,472.1828461000696,472.1982254004106,472.1982254004106,472.1982254004106,473.36370670003816,400,1,[1.1787618999369442],[1.1787769002839923],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,9,6,114,11,473.3779351999983,,473.3652543001808,473.3779351999983,474.3778996001929,474.3778996001929,474.3778996001929,474.8625839003362,space,0.46845880011096597,None,474.86327760014683,475.5776559669214,475.8886896003969,475.8740456001833,475.8741106004454,475.8886896003969,475.8886896003969,475.8886896003969,477.3121749004349,800,1,[1.435399199835956],[1.435409199912101],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,9,7,115,6,477.32742090011016,,477.31328770006076,477.32742090011016,478.3277504001744,478.3277504001744,478.3277504001744,479.4296103003435,space,1.0863994001410902,None,479.4305898002349,479.5442422670933,479.8513689003885,479.837284500245,479.8373402003199,479.8513689003885,479.8513689003885,479.8513689003885,481.7289942000061,100,1,[1.8892860999330878],[1.8892963998951018],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,400,unexp,9,8,116,0,481.74404410040006,,481.73052650038153,481.74404410040006,482.7417624001391,482.7417624001391,482.7607470001094,483.0629485002719,space,0.31176389986649156,None,483.0640044002794,483.1775909667524,483.51204719999805,483.496775300242,483.4968141000718,483.51204719999805,483.51204719999805,483.51204719999805,484.97951590036973,300,1,[1.4801473999395967],[1.480161199811846],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,9,9,117,7,484.9941558004357,,484.9808303001337,484.9941558004357,485.9941655001603,485.9941655001603,485.9941655001603,486.1960507002659,space,0.1927378000691533,None,486.1970451003872,486.6106563667456,486.9201880004257,486.90350330015644,486.90357140032575,486.9201880004257,486.9201880004257,486.9201880004257,488.56188160041347,500,1,[1.655887100379914],[1.6559022003784776],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,9,10,118,5,488.57717260019854,,488.5633066003211,488.57717260019854,489.57748380023986,489.57748380023986,489.57748380023986,490.846196600236,space,1.2601320003159344,None,490.8471818002872,491.5605761670197,491.87043220037594,491.85378250014037,491.85383450007066,491.87043220037594,491.87043220037594,491.87043220037594,494.4452536003664,300,1,[2.588947399985045],[2.588963400106877],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,9,11,119,9,494.4605161002837,,494.44720030017197,494.4605161002837,495.46047640033066,495.46047640033066,495.46047640033066,495.7120928000659,space,0.23637970024719834,None,495.7129704002291,495.8271569670799,496.138334300369,496.1241326001473,496.12418929999694,496.138334300369,496.138334300369,496.138334300369,497.7631165003404,100,1,[1.6361785000190139],[1.6361929001286626],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,10,0,120,7,497.7774063004181,,497.7645438001491,497.7774063004181,498.77543000038713,498.77543000038713,498.79182980023324,499.14550890028477,space,0.36501939967274666,None,499.14661840023473,499.5606494667629,499.8682913002558,499.85366820031777,499.85372100025415,499.8682913002558,499.8682913002558,499.8682913002558,501.2457817001268,300,1,[1.3893610001541674],[1.3893736000172794],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,10,1,121,9,501.26065310044214,,501.2471592002548,501.26065310044214,502.26069460017607,502.26069460017607,502.26069460017607,502.6113328002393,space,0.33591540018096566,None,502.61200370034203,502.72654986667135,503.0449264002964,503.0280980002135,503.0281528001651,503.0449264002964,503.0449264002964,503.0449264002964,505.1784988003783,400,1,[2.147415000014007],[2.1474264999851584],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,400,unexp,10,2,122,1,505.1935742003843,,505.17992720007896,505.1935742003843,506.19366390025243,506.19366390025243,506.19366390025243,508.62869460042566,space,2.4200487001799047,None,508.62943850038573,509.04366386688,509.35885990038514,509.34353290032595,509.3435779004358,509.35885990038514,509.35885990038514,509.35885990038514,511.1950233001262,600,1,[1.8490590997971594],[1.8490728996694088],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,10,3,123,10,511.2104126000777,,511.1962925000116,511.2104126000777,512.2104206001386,512.2104206001386,512.2104206001386,512.6788069000468,space,0.45447460003197193,None,512.6798134003766,513.0937824668983,513.4080509003252,513.3934551002458,513.3934989003465,513.4080509003252,513.4080509003252,513.4080509003252,515.7790732001886,100,1,[2.3829290000721812],[2.38293999992311],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,10,4,124,5,515.7937695002183,,515.7804167000577,515.7937695002183,516.7939556003548,516.7939556003548,516.7939556003548,517.0451145004481,space,0.24280739994719625,None,517.0460391002707,517.7598446668746,,518.0045922002755,518.0046493001282,518.0217773001641,518.0217773001641,518.0217773001641,520.5120038003661,500,1,[2.5050238999538124],[2.5050361999310553],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,1000,exp,10,5,125,4,520.5268191001378,,520.5133873000741,520.5268191001378,521.5267772004008,521.5267772004008,521.5267772004008,521.9794080001302,space,0.4398516998626292,None,521.9803524003364,522.3932306669342,522.7087535001338,522.694371800404,522.694424000103,522.7087535001338,522.7087535001338,522.7087535001338,525.8114405004308,500,1,[3.1146971001289785],[3.11470519984141],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,10,6,126,11,525.8266622000374,,525.8130515003577,525.8266622000374,526.8268017000519,526.8268017000519,526.8268017000519,527.2454427001067,space,0.4108606004156172,None,527.2464450001717,527.9601633670429,528.2679605004378,528.2535670003854,528.2536022001877,528.2679605004378,528.2679605004378,528.2679605004378,531.2617051000707,600,1,[3.005711799953133],[3.0057228999212384],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
